FileName,FilePath,AbsolutePath,Folder,SVGType,SVGContent,SVGSource,LineContext,FileExtension
EmuconParallax.jsx,src/components/Emucon/EmuconParallax.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconParallax.jsx,src/components/Emucon,Inline SVG,"viewBox: 0 0 180 70, size: 180x70",On Code,Context not found,.jsx
EmuconParallax.jsx,src/components/Emucon/EmuconParallax.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconParallax.jsx,src/components/Emucon,Inline SVG,"viewBox: 0 0 150 60, size: 150x60",On Code,Context not found,.jsx
EmuconParallax.jsx,src/components/Emucon/EmuconParallax.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconParallax.jsx,src/components/Emucon,SVG Import,../../assets/images/forest-silhouette.svg,Hand-drawn SVG File,"Line 2: import forestSilhouette from ""../../assets/images/forest-silhouette.svg"";",.jsx
EmuconParallax.jsx,src/components/Emucon/EmuconParallax.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconParallax.jsx,src/components/Emucon,SVG Path Reference,../../assets/images/forest-silhouette.svg,Hand-drawn SVG File,"Line 2: import forestSilhouette from ""../../assets/images/forest-silhouette.svg"";",.jsx
EmuconSchedule.jsx,src/components/Emucon/EmuconSchedule.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconSchedule.jsx,src/components/Emucon,React SVG Component,InfinityIcon,External Library (lucide-react),Line 1097: <InfinityIcon,.jsx
EmuconSchedule.jsx,src/components/Emucon/EmuconSchedule.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconSchedule.jsx,src/components/Emucon,React SVG Component,CalendarIcon,On Code,"Line 1457: <CalendarIcon size={20} className=""text-gold-light"" />",.jsx
EmuconSchedule.jsx,src/components/Emucon/EmuconSchedule.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconSchedule.jsx,src/components/Emucon,React SVG Component,ClockIcon,On Code,Line 1523: <ClockIcon,.jsx
EmuconSchedule.jsx,src/components/Emucon/EmuconSchedule.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconSchedule.jsx,src/components/Emucon,React SVG Component,ScrollIcon,On Code,"Line 1587: <ScrollIcon size={14} className=""text-forest-light/60"" />",.jsx
EmuconSectionHeader.jsx,src/components/Emucon/EmuconSectionHeader.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconSectionHeader.jsx,src/components/Emucon,React SVG Component,LeafIcon,On Code,Line 8: <LeafIcon,.jsx
EmuconSectionHeader.jsx,src/components/Emucon/EmuconSectionHeader.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconSectionHeader.jsx,src/components/Emucon,React SVG Component,LeafIcon,On Code,Line 8: <LeafIcon,.jsx
EmuconStatsRow.jsx,src/components/Emucon/EmuconStatsRow.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconStatsRow.jsx,src/components/Emucon,React SVG Component,ShieldIcon,On Code,"Line 31: <ShieldIcon size={180} className=""text-forest-light"" />",.jsx
EmuconStatsRow.jsx,src/components/Emucon/EmuconStatsRow.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconStatsRow.jsx,src/components/Emucon,React SVG Component,StarIcon,On Code,Line 57: <StarIcon,.jsx
SponsorContactCTA.jsx,src/components/Emucon/SponsorContactCTA.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\SponsorContactCTA.jsx,src/components/Emucon,React SVG Component,EmailIcon,On Code,"Line 68: <EmailIcon size={14} className=""text-gold-light flex-shrink-0"" />",.jsx
SponsorHero.jsx,src/components/Emucon/SponsorHero.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\SponsorHero.jsx,src/components/Emucon,React SVG Component,CrownIcon,On Code,"Line 27: <CrownIcon className=""w-4 h-4 text-forest-dark"" size={14} />",.jsx
